phi_mid,ratio,n_pix,tracer,shell,r_sh
135.0,3.9236812446542584,785,WISE W1,3,5.982
145.0,3.2449899710597507,778,WISE W1,3,5.982
155.0,3.3245200238601678,776,WISE W1,3,5.982
165.0,4.422342062704614,771,WISE W1,3,5.982
175.0,4.0416059154735455,767,WISE W1,3,5.982
185.0,2.5352867834467947,769,WISE W1,3,5.982
195.0,2.3338422252721713,767,WISE W1,3,5.982
205.0,1.983173702339119,778,WISE W1,3,5.982
215.0,2.883848578949325,779,WISE W1,3,5.982
225.0,1.4728009898683718,778,WISE W1,3,5.982
235.0,0.5665654996778693,777,WISE W1,3,5.982
245.0,1.5258485428458897,782,WISE W1,3,5.982
255.0,2.3613271694030122,778,WISE W1,3,5.982
265.0,3.043129960251953,784,WISE W1,3,5.982
275.0,2.6751162703763938,777,WISE W1,3,5.982
285.0,2.2285088897878063,783,WISE W1,3,5.982
295.0,1.6749463229183983,780,WISE W1,3,5.982
305.0,3.019133121368361,772,WISE W1,3,5.982
315.0,3.8208541471899022,790,WISE W1,3,5.982
325.0,4.141730297202491,782,WISE W1,3,5.982
335.0,4.334427463913321,786,WISE W1,3,5.982
345.0,2.679741585611062,778,WISE W1,3,5.982
355.0,1.9419454097797826,782,WISE W1,3,5.982
