Galaxy,T,V_flat,n_pts,burk_chi2r,can_n,can_chi2r,can_bic,rel_n,rel_chi2r,rel_bic,dchi2r,dbic,dn,class,transition
UGC05253,2,213.7,73,1.411386238490058,1,0.8904079886817728,82.00004043610251,1,0.5531145867150072,59.06408910236245,0.3372934019667656,-22.935951333740057,0,stable_adequate,1→1
UGC05716,9,73.1,12,2.547697642821966,1,0.9864400342169496,19.329613488458648,1,0.9159550281981504,18.83621844632705,0.07048500601879915,-0.4933950421315991,0,stable_adequate,1→1
UGC05721,7,79.7,23,0.3927585342476027,0,0.3927585342476027,14.518917651057956,0,0.3927585342476027,14.518917651057956,0.0,0.0,0,stable_adequate,0→0
UGC05986,9,113.0,15,0.8707545828538859,1,0.2172707955730999,15.71295896124205,1,0.2172707955698495,15.712958961209546,3.250399949195071e-12,-3.250377744734578e-11,0,stable_adequate,1→1
UGC06399,9,85.0,9,0.0471534074546528,0,0.0471534074546528,4.724523006855009,0,0.0471534074546528,4.724523006855009,0.0,0.0,0,stable_adequate,0→0
UGC06446,7,82.2,17,0.4496229642385813,0,0.4496229642385813,12.410771151691153,0,0.4496229642385813,12.410771151691153,0.0,0.0,0,stable_adequate,0→0
UGC06667,6,83.8,9,0.0942183433072618,0,0.0942183433072618,5.053977557823272,0,0.0942183433072618,5.053977557823272,0.0,0.0,0,stable_adequate,0→0
UGC06787,2,248.1,55,33.7259030817172,2,6.730625884516647,348.3980820541421,2,2.698528547980949,158.8895072369644,4.032097336535698,-189.5085748171777,0,still_failing,2→2
UGC06818,9,71.2,8,1.2106673732189257,1,0.2971572760965414,11.288679536688804,1,0.29719303450287,11.288786811907787,-3.575840632857874e-05,0.00010727521898346026,0,stable_adequate,1→1
UGC06917,9,108.7,11,0.195613604586808,0,0.195613604586808,6.556312986878013,0,0.195613604586808,6.556312986878013,0.0,0.0,0,stable_adequate,0→0
UGC06930,7,107.2,10,0.1756623099967358,0,0.1756623099967358,6.010468665961978,0,0.1756623099967358,6.010468665961978,0.0,0.0,0,stable_adequate,0→0
UGC06983,6,109.0,17,0.423422702281996,0,0.423422702281996,12.017767222342371,0,0.423422702281996,12.017767222342371,0.0,0.0,0,stable_adequate,0→0
UGC07125,9,65.2,13,0.2465812986631211,0,0.2465812986631211,7.842293000217406,0,0.2465812986631211,7.842293000217406,0.0,0.0,0,stable_adequate,0→0
UGC07151,6,73.5,11,0.9056711792559008,1,0.104317829126168,12.61538333874886,0,0.9056711792559008,12.94683115889985,-0.8013533501297327,0.3314478201509896,-1,stable_adequate,1→0
UGC07261,8,74.7,7,0.3724412026856761,0,0.3724412026856761,5.754026311539008,0,0.3724412026856761,5.754026311539008,0.0,0.0,0,stable_adequate,0→0
UGC07399,8,103.0,10,0.8854219278698274,0,0.8854219278698274,11.688545608946711,1,0.0201915530322058,11.61388323013126,0.8652303748376217,-0.0746623788154519,1,stable_adequate,0→1
UGC07524,9,79.5,31,0.2330489250897936,0,0.2330489250897936,13.626393236574309,0,0.2330489250897936,13.626393236574309,0.0,0.0,0,stable_adequate,0→0
UGC07603,7,61.6,12,0.2034207454953488,0,0.2034207454953488,7.004020754529488,0,0.2034207454953488,7.004020754529488,0.0,0.0,0,stable_adequate,0→0
UGC08286,6,82.4,17,1.2384866140032664,1,0.0281544278116654,14.503919854021063,1,0.0281544278116664,14.503919854021078,-9.992007221626409e-16,1.4210854715202004e-14,0,stable_adequate,1→1
UGC08490,9,78.6,30,0.6616782330809061,1,0.0437433403885126,18.099570418023596,1,0.026439045467748,17.66696304500448,0.0173042949207646,-0.4326073730191169,0,stable_adequate,1→1
UGC08550,7,56.9,11,0.9411299966594148,1,0.148520453546125,12.880599085268605,1,0.1485204535470056,12.880599085273888,-8.806011475570585e-13,5.282885240376345e-12,0,stable_adequate,1→1
UGC08699,2,182.4,37,3.187568572487312,2,0.0493536754304582,30.318599888637085,2,0.0493536754184473,30.31859988828877,1.2010906158543833e-11,-3.483151544969587e-10,0,stable_adequate,2→2
UGC09037,6,152.3,19,0.5005957981811218,0,0.5005957981811218,14.39900652741195,0,0.5005957981811218,14.39900652741195,0.0,0.0,0,stable_adequate,0→0
UGC09133,2,226.8,64,10.833971915600548,2,4.817559154911119,303.0543773419,2,1.8545651306157696,137.12671198136047,2.962994024295349,-165.92766536053955,0,still_failing,2→2
UGC10310,9,71.4,7,0.0936015982275702,0,0.0936015982275702,4.359828289248478,0,0.0936015982275702,4.359828289248478,0.0,0.0,0,stable_adequate,0→0
UGC11455,6,269.4,33,1.8357694566601543,2,1.267031270195352,59.647842246615646,1,1.40434704367587,56.80425503025677,-0.13731577348051793,-2.843587216358877,-1,stable_adequate,2→1
UGC11914,2,288.1,63,8.186355475805337,2,0.081996680155877,37.65489521970549,1,0.1552014454792193,29.717357469752383,-0.0732047653233423,-7.937537749953105,-1,stable_adequate,2→1
UGC12506,6,234.0,31,0.7242835849262651,1,0.1314857725239911,20.5885661080495,1,0.071236155115264,19.022076055422595,0.0602496174087271,-1.5664900526269037,0,stable_adequate,1→1
UGC12632,9,71.7,15,0.0657242120185977,0,0.0657242120185977,6.270515158446191,0,0.0657242120185977,6.270515158446191,0.0,0.0,0,stable_adequate,0→0
UGCA442,9,56.4,8,0.6134689010405746,0,0.6134689010405746,7.839696489603119,0,0.6134689010405746,7.839696489603119,0.0,0.0,0,stable_adequate,0→0
