Galaxy,T,V_flat,n_pts,M_central_estimate,fw_best_n_shells,fw_best_bic,fw_best_chi2,fw_best_chi2_red,burk_rho0,burk_a_kpc,shell1_r_kpc,shell1_M,shell1_sigma_kpc,shell1_M_BH_single,shell1_decomp_n_BH,shell1_decomp_M_BH_each,shell1_decomp_central_ratio,shell1_decomp_acceptable,shell2_r_kpc,shell2_M,shell2_sigma_kpc,shell2_M_BH_single,shell2_decomp_n_BH,shell2_decomp_M_BH_each,shell2_decomp_central_ratio,shell2_decomp_acceptable
UGC05721,7,79.7,23,1201209.1805880393,0,14.518917651058063,8.247929219199763,0.39275853424760776,480353999.10663116,1.018038210051651,,,,,,,,,,,,,,,,
UGC05986,9,113.0,15,5581451.816812575,1,15.71295896087058,2.17270795535953,0.21727079553595302,77249719.43333258,3.0621248446443206,3.812929739639056,4202579705.2751136,1.0467189562585555,11947.978195033847,1.0,11947.978195033847,0.0021406577691925745,True,,,,,,,,
UGC06399,9,85.0,9,1594576.2883355774,0,4.724523006855166,0.33007385218272695,0.04715340745467528,45804280.18109703,3.484253300406596,,,,,,,,,,,,,,,,
UGC06446,7,82.2,17,1376062.075517823,0,12.410771152052828,6.744344463940395,0.44962296426269305,120531641.91212356,1.9559478101444876,,,,,,,,,,,,,,,,
UGC06614,1,199.8,13,68520757.85797167,0,6.2050894512638655,1.2352761516878648,0.12352761516878648,4295759.074014428,27.66849171076052,,,,,,,,,,,,,,,,
UGC06667,6,83.8,9,1497875.476876585,0,5.0539775578232735,0.6595284031508339,0.09421834330726199,60055514.847654276,3.0951804718635065,,,,,,,,,,,,,,,,
UGC06786,0,219.4,45,103429201.27040446,1,34.83218512234224,15.798872673490646,0.3949718168372661,45954752.2341591,8.645261570783495,2.586731837034106,11071514409.6879,0.7457548732797873,807793.9177703517,1.0,807793.9177703517,0.007810114627671366,True,,,,,,,,
UGC06787,2,248.1,71,177647782.7721741,2,158.88950733545465,126.83084185359488,2.6985285500764866,688915335.0827148,1.415368885420647,23.420426547001,281762772767.24225,4.848695773056221,1051946648097.0472,5.0,210389329619.40945,1184.305969578157,False,8.021577175664785,63337784465.00726,1.4065526272400832,1593064922.4076717,5.0,318612984.48153436,1.7935094911381038,False
UGC06818,9,71.2,8,731331.0298533167,1,11.289349153709653,0.8921414453104737,0.2973804817701579,2966502.820878662,119.43040800242275,4.046171363093113,2950762327.9391,0.6094933196627879,2565.7474237617707,1.0,2565.7474237617707,0.003508325667894036,True,,,,,,,,
UGC06917,9,108.7,11,4705567.662210564,0,6.556312986878037,1.760522441281296,0.19561360458681068,56228968.06962987,3.6522626940250005,,,,,,,,,,,,,,,,
UGC06923,10,79.6,6,1194591.7927287365,0,5.5116390082774265,1.9281200698213166,0.48203001745532914,43092401.86021292,3.3496801787282755,,,,,,,,,,,,,,,,
UGC06930,7,107.2,10,4426485.889997743,0,6.010468665961978,1.4052984799738863,0.1756623099967358,51726143.91696869,3.689289726918375,,,,,,,,,,,,,,,,
UGC06983,6,109.0,17,4762978.482869276,0,12.017767222342373,6.351340534229941,0.423422702281996,78748790.74962184,3.1921395356935975,,,,,,,,,,,,,,,,
UGC07125,9,65.2,13,496468.21570418647,0,7.842293000217515,2.7123942852944407,0.24658129866313097,9598135.84638147,4.759321149349251,,,,,,,,,,,,,,,,
UGC07151,6,73.5,11,841136.1931588579,1,12.615383338754725,0.6259069747628714,0.10431782912714523,20367713.3856365,4.238021901648699,1.312743671263428,913609378.6369355,0.39975550560656453,15.642580148544393,1.0,15.642580148544393,1.8596964767143385e-05,True,,,,,,,,
UGC07261,8,74.7,7,903259.7883988287,0,5.754026311539008,1.8622060134283807,0.37244120268567615,153922409.00894353,1.4913866829472762,,,,,,,,,,,,,,,,
UGC07399,8,103.0,10,3712665.4569052053,0,11.688545608946711,7.083375422958619,0.8854219278698274,315072952.3993158,1.5284799482477989,,,,,,,,,,,,,,,,
UGC07524,9,79.5,31,1188002.6098092017,0,13.626393236574307,6.7584188276040145,0.2330489250897936,31553758.97443482,3.6000872037576017,,,,,,,,,,,,,,,,
UGC07603,7,61.6,12,386684.8544890269,0,7.004020754529754,2.034207454953753,0.2034207454953753,129718014.05506244,1.5347719427644122,,,,,,,,,,,,,,,,
UGC07690,10,57.4,7,283409.4682120008,0,4.447663585245866,0.5558432871352403,0.11116865742704807,408249960.6240756,0.6988472791637885,,,,,,,,,,,,,,,,
UGC08286,6,82.4,17,1390854.6925025901,1,14.503919854021092,0.33785313374001114,0.028154427811667593,38130803.384767815,3.5418396056529566,1.3456074973267578,1292459505.907416,0.431220763658646,70.7397810238948,1.0,70.7397810238948,5.086065525408081e-05,True,,,,,,,,
UGC08490,9,78.6,30,1129955.215859999,1,18.09957041802358,1.0935835097128017,0.04374334038851207,304223759.0686703,1.0994937473169992,6.601883811223356,4772016758.043567,2.6407535244893423,20766.03236506782,2.0,10383.01618253391,0.009188874069342197,True,,,,,,,,
UGC08550,7,56.9,11,272706.82100892323,0,13.265960515594628,8.470169969997887,0.9411299966664318,130582865.48878297,1.306083301467354,,,,,,,,,,,,,,,,
UGC08699,2,182.4,41,45889285.75763539,2,30.318599888125746,1.4312565869719525,0.04935367541282595,5864083.048170626,22.382921607063757,1.7265155585846825,5900292088.225294,0.38569991499238915,52275.69013692885,1.0,52275.69013692885,0.0011391698361361148,True,6.378471482714368,23588990996.96024,1.363444285813295,21691307.755510308,5.0,4338261.551102062,0.09453756970667669,False
UGC09037,6,152.3,22,20753034.27292837,0,14.399006527445172,8.510128569112291,0.500595798183076,4474452.12341277,20.96699505001945,,,,,,,,,,,,,,,,
