HostName,RAJ2000,DEJ2000,amaj,bmin,PA,Dist,T-Type,2SXPSNAME,Favg2SXPS,Fpeak2SXPS,2SXPSSep,4XMMName,Fpeak4XMM,4XMMSep,CSC2Name,FpeakCSC2,CSC2Sep,RABdeg,DEBdeg,SepS-X,SepX-C,SepS-C
NGC0266,12.449091,32.2776927,1.4189595142207798,1.370787085963944,,68.83352,1.6,,,,,,,,2CXO J004943.5+321658,2.21449369763e-15,57.12736074795018,12.4313984917221,32.2829910862179,,,
NGC0266,12.449091,32.2776927,1.4189595142207798,1.370787085963944,,68.83352,1.6,,,,,,,,2CXO J004944.3+321623,2.86677792037e-15,46.3872192210389,12.4347857510115,32.2732492689029,,,
NGC0266,12.449091,32.2776927,1.4189595142207798,1.370787085963944,,68.83352,1.6,,,,,,,,2CXO J004952.2+321714,2.14460177577e-15,66.22878058677466,12.4675329343514,32.2874578396765,,,
NGC0266,12.449091,32.2776927,1.4189595142207798,1.370787085963944,,68.83352,1.6,,,,,,,,2CXO J004953.8+321658,2.85191475684e-15,78.55481761246519,12.4741678848146,32.2828558367534,,,
NGC0278,13.0179165,47.5505278,1.177524641948004,1.150720908704256,,18.62,3.0,,,,,,,,2CXO J005202.7+473307,1.47094488511e-13,16.741184994274356,13.0114803591098,47.5521878479011,,,
NGC0291,13.3746315,-8.7677573,0.49200555288056685,0.26422262588759016,54.86000061035156,81.39543,1.4,2SXPS J005328.5-084605,5.193e-14,2.1944e-13,20.596342277321043,4XMM J005328.6-084607,2.54779e-14,19.4507186113258,,,,13.369255963484,-8.7687407881009,2.4031054208883567,,
PGC003183,13.516416,73.0847778,0.49200555288056697,0.28311964451912636,134.0,42.07264,1.0,,,,,,,,2CXO J005401.7+730509,1.00929224849e-14,10.658874843664234,13.5071678040454,73.086013243329,,,
ESO351-021,13.7495835,-35.3213889,0.5320715091121578,0.5046264430383419,,250.3802,-3.0,,,,,,,,2CXO J005501.4-351909,4.26382679213e-14,20.001652167262247,13.7559504699094,-35.3194188396733,,,
NGC0300,13.7230245,-37.6844766,9.704429387963888,6.530854440659206,113.2300033569336,1.98609,6.9,2SXPS J005504.5-374143,2.085e-12,7.6981e-12,136.7623067592197,4XMM J005504.8-374143,5.89559e-12,140.38126879989377,,,,13.7702792374504,-37.69553442397,3.732891272095452,,
NGC0315,14.453676,30.3523544,1.4320889849532898,1.07144530056003,44.959999084472656,73.62071,-4.1,,,,,,,,2CXO J005745.0+302014,3.76028616509e-15,73.18901891448348,14.4377493592503,30.3373742871109,,,
ESO411-034,14.4455145,-27.5016522,0.8550076575451441,0.6667607160816622,85.8499984741211,78.41515,5.1,,,,,4XMM J005746.2-272952,2.22206e-14,16.74299547047172,,,,14.442509085525,-27.497841225192,,,
NGC0315,14.453676,30.3523544,1.4320889849532898,1.07144530056003,44.959999084472656,73.62071,-4.1,,,,,,,,2CXO J005746.5+302129,9.30213427502e-15,36.56696482380062,14.4439554815773,30.358083044939,,,
NGC0337,14.9585115,-7.5780176,1.458713507000586,0.9439956745481459,,19.23092,6.7,2SXPS J005947.4-073415,5.138e-14,1.3608e-13,46.50918268094111,,,,2CXO J005947.4-073416,2.99082872132e-14,44.98816799437564,14.947895815345,-7.57127718275216,,,1.521680762434755
NGC0337,14.9585115,-7.5780176,1.458713507000586,0.9439956745481459,,19.23092,6.7,,,,,,,,2CXO J005948.5-073456,4.69927379599e-14,27.795349930750834,14.9521148955023,-7.58242307643907,,,
NGC0337,14.9585115,-7.5780176,1.458713507000586,0.9439956745481459,,19.23092,6.7,,,,,,,,2CXO J005949.4-073435,7.49854985785e-14,9.926734032360152,14.9561361066396,-7.57658267246536,,,
NGC0337,14.9585115,-7.5780176,1.458713507000586,0.9439956745481459,,19.23092,6.7,2SXPS J005950.5-073455,3.369e-13,2.5154e-12,16.065299022398786,,,,2CXO J005950.4-073454,3.07255342779e-14,14.304962117939251,14.9600008595577,-7.58170676056333,,,1.9956486491867407
NGC0337,14.9585115,-7.5780176,1.458713507000586,0.9439956745481459,,19.23092,6.7,2SXPS J005950.5-073455,3.369e-13,2.5154e-12,16.065299022398786,,,,2CXO J005950.5-073458,2.20371114996e-13,18.857860072381104,14.9606717204549,-7.58279822598578,,,2.8176793175902186
NGC0337,14.9585115,-7.5780176,1.458713507000586,0.9439956745481459,,19.23092,6.7,2SXPS J005952.4-073448,1.968e-13,3.5679e-13,36.59023200440486,,,,2CXO J005952.2-073447,3.13727328246e-14,34.14539113695574,14.9679004718082,-7.57984590101806,,,2.4550923265315254
PGC003853,16.2703125,-6.212375,2.118214830247704,1.56664286215779,56.68000030517578,11.64126,7.0,,,,,,,,2CXO J010511.2-061207,1.36021064072e-13,102.69543283570421,16.2970255907134,-6.20195795187296,,,
NGC0375,16.7745645,32.3481075,0.239315046161319,0.1900946981602806,99.5,89.12509,-5.0,,,,,,,,2CXO J010706.5+322047,7.17103325519e-15,10.223702090971095,16.7773864996689,32.346564359353,,,
NGC0385,16.8632295,32.3198244,0.6025179701859,0.4549566363161256,160.0,64.2688,-3.7,,,,,,,,2CXO J010725.0+321917,3.21529743174e-15,27.66370383309862,16.8543972280348,32.3216519699674,,,
NGC0384,16.854102,32.2924746,0.5495029197162604,0.3899150552616293,135.0,85.90128,-4.2,,,,,4XMM J010725.1+321759,2.73984e-14,27.144773093562133,,,,16.8548513618,32.299988161123,,,
NGC0383,16.853778,32.4126615,1.1939056414565878,0.9976311574844401,7.639999866485596,63.38692,-2.9,,,,,,,,2CXO J010726.8+322524,2.70824580615e-15,46.712306997921324,16.8620597644725,32.4235927161523,,,
NGC0383,16.853778,32.4126615,1.1939056414565885,0.9976311574844396,7.64,63.38692,-2.9,2SXPS J010726.9+322458,3.794e-14,2.5456e-13,28.462872003654155,,,,,,,16.8622,32.41612,,,
IC1622,16.9028025,-17.5386725,0.3499209980011368,0.2792350973684154,160.11000061035156,90.44821,2.0,,,,,,,,2CXO J010736.5-173210,1.7537957786e-15,8.853288741836087,16.9022951945248,-17.5362612960756,,,
IC1622,16.9028025,-17.5386725,0.3499209980011368,0.2792350973684154,160.11000061035156,90.44821,2.0,,,,,,,,2CXO J010736.9-173236,1.24419048875e-15,17.651357228554254,16.9038250646157,-17.5434777335681,,,
IC1622,16.9028025,-17.5386725,0.3499209980011368,0.2792350973684154,160.11000061035156,90.44821,2.0,,,,,,,,2CXO J010737.1-173222,2.53912461709e-15,7.573594053111239,16.9047265007926,-17.5397021980811,,,
IC1622,16.9028025,-17.5386725,0.3499209980011368,0.2792350973684154,160.11000061035156,90.44821,2.0,,,,,,,,2CXO J010737.2-173210,4.95536522149e-15,11.683131583128386,16.9052200724358,-17.536388183113,,,
IC1625,16.927416,-46.9075556,0.8994354575643938,0.7030237620649569,9.26,94.6673,-3.1,2SXPS J010742.0-465505,7.098e-14,2.241e-13,38.269222160952665,,,,,,,16.92533,-46.91809,,,
IC1625,16.927416,-46.9075556,0.8994354575643938,0.7030237620649569,9.26,94.6673,-3.1,2SXPS J010744.9-465506,7.156e-14,1.5049e-13,46.083904491764876,,,,,,,16.93735,-46.91841,,,
IC1633,17.4815685,-45.9312151,1.4587135070005839,1.0838520524098476,94.56,92.89665,-3.9,2SXPS J010948.1-455543,4.123e-14,2.038e-13,78.33959693689758,,,,,,,17.45048,-45.92877,,,
IC1633,17.4815685,-45.9312151,1.458713507000586,1.08385205240985,94.55999755859375,92.89665,-3.9,2SXPS J010952.1-455524,1.702e-13,3.0227e-12,45.142798580489696,4XMM J010952.3-455526,4.23903e-14,42.86405737851818,2CXO J010952.2-455526,1.55071184647e-14,43.461734331223425,17.4676658983254,-45.9239875380879,2.4953308974670625,0.6882948650664719,
IC1633,17.4815685,-45.9312151,1.458713507000586,1.08385205240985,94.55999755859375,92.89665,-3.9,,,,,,,,2CXO J010953.8-455627,4.67769502626e-15,39.67124080018651,17.4742734374605,-45.9409975389015,,,
IC1633,17.4815685,-45.9312151,1.4587135070005839,1.0838520524098476,94.56,92.89665,-3.9,2SXPS J010957.0-455500,9.233e-14,4.1408e-13,54.006179127633864,,,,,,,17.48759,-45.91681,,,
PGC073710,17.527584,-45.9317778,0.22959900641843461,0.1686436543294344,6.0,109.64786,-2.5,,,,,,,,2CXO J011007.5-455553,1.88437308652e-14,9.399099625711425,17.531334447966,-45.9316666308515,,,
PGC073717,17.583042,-45.8551111,0.4216673788821378,0.180289321510821,105.80000305175781,99.54062,-2.3,,,,,,,,2CXO J011020.8-455118,9.50073374553e-15,9.314624668215934,17.5867563023177,-45.855061517636,,,
PGC073717,17.583042,-45.8551111,0.42166737888213773,0.18028932151082122,105.80000305175781,99.54062,-2.3,2SXPS J011022.2-455117,6.219e-14,4.1864e-13,24.66901939594766,4XMM J011021.9-455117,3.96597e-14,21.103320376155335,,,,17.591447486307,-45.8548087059669,3.5673395214095462,,
PGC073734,17.696958,-45.7565556,0.2930690822570144,0.2157595384138826,145.9600067138672,149.27937,-2.5,,,,,4XMM J011046.1-454529,3.78143e-14,13.656788216641301,,,,17.692135790693,-45.758308186183,,,
NGC0410,17.7456135,33.1522335,1.18295984874288,0.801622695345024,33.790000915527344,65.46367,-4.3,,,,,4XMM J011102.9+330940,3.56655e-14,59.97098644666846,2CXO J011102.9+330940,2.89772666156e-14,60.006381961385124,17.7623327600596,33.1612845373069,,0.16469900393974024,
ESO243-051,17.830311,-45.9321527,0.5211587146966521,0.29646266228999996,50.41,91.62205,1.1,2SXPS J011119.8-455618,4.06e-14,4.9253e-13,23.91778194337175,,,,,,,17.83273,-45.93858,,,
NGC0430,18.249729,-0.2524405,0.5888029867604037,0.4064152580820496,162.5399932861328,73.79043,-4.8,,,,,4XMM J011259.2-001437,2.93316e-14,32.747871213799804,,,,18.246855072803,-0.2438097763352,,,
PGC2832008,18.2618745,15.5273332,0.3672569340785574,0.304067500639359,,201.46518,-5.0,,,,,,,,2CXO J011302.1+153123,2.78139732232e-15,17.971519087015633,18.2590760666046,15.5231319174735,,,
PGC004461,18.5917395,-55.4001338,0.8221858616074681,0.8221858616074681,,48.70797,-1.0,,,,,,,,2CXO J011423.8-552332,8.63787726281e-15,31.58283164020727,18.5992930032635,-55.3924810274914,,,
PGC004461,18.5917395,-55.4001338,0.8221858616074658,0.8221858616074658,,48.70797,-1.0,2SXPS J011424.8-552445,1.921e-14,2.0242e-14,50.99590262770917,,,,,,,18.60349,-55.41263,,,
PGC004461,18.5917395,-55.4001338,0.8221858616074681,0.8221858616074681,,48.70797,-1.0,,,,,,,,2CXO J011426.1-552353,2.02482806479e-14,35.65097620982511,18.6087986420935,-55.3980772070675,,,
PGC073855,18.7851075,0.3036317,0.1729696889130612,0.1364488891404018,133.02000427246094,203.98582,-2.5,,,,,,,,2CXO J011507.9+001817,3.10715294681e-15,8.099800852439635,18.7832528756656,0.304905558959292,,,
PGC1162545,18.818055,0.3094985,0.1425509133751956,0.08452204658216339,103.5999984741211,189.84537,-5.0,,,,,,,,2CXO J011515.8+001837,4.80237983836e-15,7.366279439358692,18.8162003121024,0.310362862068814,,,
PGC073879,18.876837,0.2227993,0.28771996866857846,0.19905358527674863,56.61000061035156,197.60594,-4.1,,,,,4XMM J011531.1+001335,4.48812e-15,17.099114788447967,,,,18.879787095509,0.22652183064235,,,
